mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
6.0,8.55,6.0,4.75,5.0,8.55,5.0,4.75
6.0,9.0,6.0,5.0,5.0,9.0,5.0,5.0
6.0,9.45,6.0,5.25,5.0,9.45,5.0,5.25
6.0,9.9,6.0,5.5,5.0,9.9,5.0,5.5
6.0,10.35,6.0,5.75,5.0,10.35,5.0,5.75
6.0,10.8,6.0,6.0,5.0,10.8,5.0,6.0
6.0,11.25,6.0,6.25,5.0,11.25,5.0,6.25
6.0,11.7,6.0,6.5,5.0,11.7,5.0,6.5
6.0,12.15,6.0,6.75,5.0,12.15,5.0,6.75
6.0,12.6,6.0,7.0,5.0,12.6,5.0,7.0
6.0,13.05,6.0,7.25,5.0,13.05,5.0,7.25
6.0,13.5,6.0,7.5,5.0,13.5,5.0,7.5
6.0,5.0,6.0,2.5,5.0,5.0,5.0,2.5
6.0,5.5,6.0,2.75,5.0,5.5,5.0,2.75
6.0,6.0,6.0,3.0,5.0,6.0,5.0,3.0
6.0,6.5,6.0,3.25,5.0,6.5,5.0,3.25
6.0,7.0,6.0,3.5,5.0,7.0,5.0,3.5
6.0,7.5,6.0,3.75,5.0,7.5,5.0,3.75
6.0,8.0,6.0,4.0,5.0,8.0,5.0,4.0
6.0,8.5,6.0,4.25,5.0,8.5,5.0,4.25
6.0,9.0,6.0,4.5,5.0,9.0,5.0,4.5
6.0,9.5,6.0,4.75,5.0,9.5,5.0,4.75
6.0,10.0,6.0,5.0,5.0,10.0,5.0,5.0
6.0,10.5,6.0,5.25,5.0,10.5,5.0,5.25
6.0,11.0,6.0,5.5,5.0,11.0,5.0,5.5
6.0,11.5,6.0,5.75,5.0,11.5,5.0,5.75
6.0,12.0,6.0,6.0,5.0,12.0,5.0,6.0
6.0,12.5,6.0,6.25,5.0,12.5,5.0,6.25
6.0,13.0,6.0,6.5,5.0,13.0,5.0,6.5
6.0,13.5,6.0,6.75,5.0,13.5,5.0,6.75
6.0,14.0,6.0,7.0,5.0,14.0,5.0,7.0
6.0,14.5,6.0,7.25,5.0,14.5,5.0,7.25
6.0,15.0,6.0,7.5,5.0,15.0,5.0,7.5
7.0,3.0,7.0,2.5,5.0,3.0,5.0,2.5
7.0,3.3,7.0,2.75,5.0,3.3,5.0,2.75
7.0,3.6,7.0,3.0,5.0,3.6,5.0,3.0
7.0,3.9,7.0,3.25,5.0,3.9,5.0,3.25
7.0,4.2,7.0,3.5,5.0,4.2,5.0,3.5
7.0,4.5,7.0,3.75,5.0,4.5,5.0,3.75
7.0,4.8,7.0,4.0,5.0,4.8,5.0,4.0
7.0,5.1,7.0,4.25,5.0,5.1,5.0,4.25
7.0,5.4,7.0,4.5,5.0,5.4,5.0,4.5
7.0,5.7,7.0,4.75,5.0,5.7,5.0,4.75
7.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0
7.0,6.3,7.0,5.25,5.0,6.3,5.0,5.25
7.0,6.6,7.0,5.5,5.0,6.6,5.0,5.5
7.0,6.9,7.0,5.75,5.0,6.9,5.0,5.75
7.0,7.2,7.0,6.0,5.0,7.2,5.0,6.0
7.0,7.5,7.0,6.25,5.0,7.5,5.0,6.25
7.0,7.8,7.0,6.5,5.0,7.8,5.0,6.5
7.0,8.1,7.0,6.75,5.0,8.1,5.0,6.75
7.0,8.4,7.0,7.0,5.0,8.4,5.0,7.0
7.0,8.7,7.0,7.25,5.0,8.7,5.0,7.25
7.0,9.0,7.0,7.5,5.0,9.0,5.0,7.5
7.0,3.5,7.0,2.5,5.0,3.5,5.0,2.5
7.0,3.85,7.0,2.75,5.0,3.85,5.0,2.75
7.0,4.2,7.0,3.0,5.0,4.2,5.0,3.0
7.0,4.55,7.0,3.25,5.0,4.55,5.0,3.25
